MOTU	Species	ASV	1HERP_20180928_20190128	1HERP_20190612_20191011	1HERP_20190612_20200618	1HERP_20200903_20210122	2UBPC_20190924_20201211	AJJCD89_20210225_20210819	Angbat_20180711_20181106	Angbat_20200608_20201117	AZBE1_20190924_20200303	AZFPin_20180712_20180818	BasBloS1_20180711_20181025	BasBloS1_20190612_20200527	BasBloS2_20190612_20200528	BasBloS3_20190612_20200529	Bjorko1_20200131_20200518	BojaVida_20200611_20210728	CoastbustersA_20210422_20211008	Fornace_20180815_20181118	G1_20190624_20191016	G1_20200624_20201103	G2_20190624_20191016	G2_20200624_20201103	G3_20190624_20191016	G3_20200624_20201103	Gbg1_20200206_20200520	Gbg2_20200206_20200520	Gbg3_20200206_20200529	Gbg4_20200206_20200529	GDY1_20180813_20191029	GDY1_20190619_20191029	Green33_20190618_20191029	Green33_20191029_20201110	Green33_20201110_20211115	GStraB_20190621_20201207	GStraM_20190621_20201207	Gurr1_20200721_20210708	Gurr2_20200721_20210707	Helsingborg1_20200305_20200604	Helsingborg2_20200305_20200604	Hjuvik1_20200131_20200518	Katza1_20181024_20200706	Katza2_20181024_20200803	Kummelkobben_20200608_20201120	Laeso1_20190819_20200811	Laeso2_20190819_20200811	Laeso3_20190819_20200811	LukaKP_20210223_20210622	LukaKP_20210622_20211027	MarBloR1_20180709_20181024	MarBloR1_20190612_20190916	MarBloR2_20190612_20190917	MarBloR3_20190612_20190918	Marstrand1_20200228_20200527	Marstrand2_20200228_20200527	Marstrand3_20200228_20200527	MBA1_20180701_20181001	MBA1A_20190716_20190916	MBA1A_20200717_20200921	MBA1B_20190716_20190918	MBA1B_20200717_20200922	MBA1C_20190716_20190920	MBA1C_20200717_20200923	MBA2_20180701_20181001	NR1_20181017_20200204	NR2_20181017_20200524	Preemraff1_20200401_20200715	Preemraff2_20200401_20200715	RavH1_20210422_20210722	RavH2_20210422_20210722	RavH3_20210422_20210722	RavM1_20210422_20210722	RavM2_20210422_20210722	RavM3_20210422_20210722	Red2_20190618_20191029	Red2_20191029_20201110	Red2_20201110_20211115	S1_20180706_20190806	S1_20190806_20200804	S2_20180708_20190805	S2_20190805_20200801	Spikarna_20180711_20181107	Spikarna_20200608_20201118	TorallaA_20180607_20180924	TorallaA_20190625_20191014	TorallaA_20200706_20201006	TorallaB_20190625_20191014	TorallaB_20200706_20201006	TorallaC_20190625_20191014	TorallaC_20200706_20201006	Varberg1_20200213_20200603	Varberg2_20200213_20200603	Varberg3_20200213_20200603	VH1_20180418_20190527	VH1_20190527_20200716	VH1_20200716_20210608	VH2_20180418_20180906	VH2_20190527_20200716	VH2_20200716_20210608	VH3_20180418_20190527	VH3_20190527_20200716	VH3_20200716_20210608	Yellow8_20190618_20191029	Yellow8_20201110_20211115
MOTU108	Polydora cornuta	ASV861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	40	787	0	0	0	154	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	52	0	0	0	0	0	0	0	0	0	146	62
MOTU108	Polydora cornuta	ASV869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	37	95	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	52	159	0	0	0	105	242	16	0	0	0	0	0	0	0	0	0	0	0	0	0	17	119	12	0	0	0	0	0	0	0	0	0	204	80
MOTU108	Polydora cornuta	ASV1682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	154	0	0	0	0	0	0	0	0	0	0	0
MOTU108	Polydora cornuta	ASV2027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	41	74	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	85	0	0	0	0	0	0	0	0	0	0	61	10
MOTU108	Polydora cornuta	ASV2419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MOTU108	Polydora cornuta	ASV2485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	29
MOTU108	Polydora cornuta	ASV2958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	44	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	22	0
MOTU108	Polydora cornuta	ASV3143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	29	88	0	0	0	0	0	0	0	0	0	0	0
MOTU108	Polydora cornuta	ASV3373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	148	0	0	0	0	0	0	0	0	0	0	0
MOTU108	Polydora cornuta	ASV3540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	34	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MOTU108	Polydora cornuta	ASV4319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	37	0	0	0	0	0	0	0	0	0	0	0
MOTU108	Polydora cornuta	ASV6021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
MOTU108	Polydora cornuta	ASV8438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MOTU108	Polydora cornuta	ASV8760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
