ARMS	Latitude	Longitude
Ven1	45.316667	12.5
Ven2	45.316667	12.5
Ven3	45.316667	12.5
AJJBC89	51.64971	2.789374
AJJC81	51.6533567	2.79178508
AJJC86	51.65264	2.79369998
AJJCD78	51.65374944	2.79602577
AJJCD89	51.64505	2.793074
AZBE1	51.364298	3.20701
AZBW1	51.362906	3.183634
AZFPin	51.66522	2.82558
AZFPout	51.68821	2.84921
BirkenfelsA	51.64816667	2.53583333
BirkenfelsB	51.64816667	2.53583333
CoastbustersA	51.11486388	2.57857672
CoastbustersB	51.11529044	2.57995513
CPowerA	51.579833	2.9955
CPowerB	51.579833	2.9955
CPowerC	51.579833	2.9955
GStraM	67.240217	14.711533
GStraB	67.24035	14.711733
1HERP	35.343153	25.136605
2UBPC	35.34662	25.27876
Daneborg2	74.3304	-20.3404
Daneborg3	74.3308	-20.3408
Daneborg1	74.33	-20.34
NR1	29.50555	34.920278
NR2	29.50555	34.920278
Katza1	29.52	34.934444
Katza2	29.52	34.934444
Gurr3	53.315443	-9.671564
Gurr2	53.315675	-9.668541
Gurr1	53.315693	-9.670278
Gurr4	53.314849	-9.673079
GDY1	54.48522	18.57111
G3	43.33843	-3.01483
G1	43.338452	-3.014833
G2	43.3385	-3.01491
Fornace	45.5188	13.5673
BojaVida	45.54875	13.5507
LukaKP	45.564856	13.743586
VH3	58.859877	11.080491
VH1	58.875155	11.103194
VH2	58.87633	11.111884
NSF1	58.859967	11.068317
NSF2	58.85985	11.068717
NSF3	58.8597	11.069017
NSF4	58.858817	11.068783
NSF5	58.858533	11.0684
NSF6	58.858433	11.06825
NSF7	58.858667	11.065933
NSF8	58.858917	11.06635
NSF9	58.8591	11.066567
Laeso1	57.25689	11.14193
Laeso2	57.25692	11.14197
Laeso3	57.25692	11.14199
Red2	56.89985	9.05663333
Yellow8	56.90131667	9.05733333
Green33	56.90155	9.05516667
Kobbefjord2	64.1404	-51.3904
Kobbefjord1	64.1405	-51.3906
Kobberfjord3	64.1408	-51.3908
MBA2	50.350134	-4.159167
MBA1B	50.3668	-4.1561
MBA1A	50.3673	-4.1554
MBA1	50.3674	-4.1552
MBA1C	50.3674	-4.1544
RavH3	44.421488	12.209497
RavH2	44.421488	12.209497
RavH1	44.421488	12.209497
RavM2	44.492426	12.287623
RavM3	44.492426	12.287623
RavM1	44.492426	12.287623
MarBloR1	48.71751	-3.96649
MarBloR2	48.71751	-3.96649
MarBloR3	48.71751	-3.96649
BasBloS1	48.72872	-3.95894
BasBloS2	48.72872	-3.95894
BasBloS3	48.72872	-3.95894
SouthCove1	-67.575	-68.1346667
Cheshire1	-67.5738333	-68.1252333
HangarCove1	-67.5641667	-68.1249667
HangarCove2	-67.5641667	-68.1249667
HangarCove3	-67.5641667	-68.1249667
SHNP4	54.482	8.395
SHNP3	54.482	8.395
SHNP2	54.482	8.395
SHNP1	54.482	8.395
S2	78.18833333	15.14472222
S1	78.21302778	15.23361111
S1C	78.21302778	15.23361111
S1B	78.21302778	15.23361111
S1A	78.21302778	15.23361111
Helsingborg2	56.018061	12.700541
Helsingborg1	56.026272	12.695728
Varberg3	57.1107004	12.2439775
Varberg2	57.1126278	12.2302732
Varberg1	57.1133741	12.2299832
Gbg2	57.664608	11.732876
Gbg1	57.664805	11.714735
Gbg3	57.680533	11.740578
Gbg4	57.680805	11.728331
Hjuvik1	57.703221	11.711363
Bjorko1	57.717984	11.679989
Marstrand3	57.889278	11.585722
Marstrand2	57.903512	11.581548
Marstrand1	57.914434	11.594154
Preemraff1	58.3533	11.43486
Preemraff2	58.35405	11.43394
Spikarna	59.81094	23.206216
Angbat	59.841505	23.248879
Kummelkobben	59.86442	23.265084
TorallaA	42.2284	-8.7787
TorallaB	42.2284	-8.7787
TorallaC	42.2284	-8.7787
TorallaD	42.2256	-8.7606	
