Observatory	event	ARMS ID	Deployment Date 	Retrieval Date	Latitude	Longitude
BelgiumCoast	AJJBC89_20210225_20210819	AJJBC89	20210225	20210819	51.64971	2.789374
BelgiumCoast	AJJC81_20200506_20201012	AJJC81	20200506	20201012	51.6533567	2.79178508
BelgiumCoast	AJJC86_20200506_20201012	AJJC86	20200506	20201012	51.65264	2.79369998
BelgiumCoast	AJJCD78_20210225_20210819	AJJCD78	20210225	20210819	51.65374944	2.79602577
BelgiumCoast	AJJCD89_20210225_20210819	AJJCD89	20210225	20210819	51.64505	2.793074
BelgiumCoast	AZBE1_20190924_20200303	AZBE1	20190924	20200303	51.364298	3.20701
BelgiumCoast	AZFPin_20180712_20180818	AZFPin	20180712	20180818	51.66522	2.82558
BelgiumCoast	CoastbustersA_20210422_20211008	CoastbustersA	20210422	20211008	51.11486388	2.57857672
BelgiumCoast	BirkenfelsA_20200617_20210309	BirkenfelsA	20200617	20210309	51.64816667	2.53583333
Bodo	GStraB_20190621_20201207	GStraB	20190621	20201207	67.24035	14.711733
Bodo	GStraM_20190621_20201207	GStraM	20190621	20201207	67.240217	14.711533
Crete	X1HERP_20190612_20200210	1HERP	20190612	20200210	35.343153	25.136605
Crete	X1HERP_20200903_20210122	1HERP	20200903	20210122	35.343153	25.136605
Crete	X1HERP_20190612_20200618	1HERP	20190612	20200618	35.343153	25.136605
Crete	X2UBPC_20190924_20201211	2UBPC	20190924	20201211	35.34662	25.27876
Eilat	Katza1_20181024_20200706	Katza1	20181024	20200706	29.52	34.934444
Eilat	Katza2_20181024_20200803	Katza2	20181024	20200803	29.52	34.934444
Eilat	NR1_20181017_20200204	NR1	20181017	20200204	29.50555	34.920278
Eilat	NR2_20181017_20200524	NR2	20181017	20200524	29.50555	34.920278
Galway	Gurr1_20200721_20210708	Gurr1	20200721	20210708	53.315693	-9.670278
Galway	Gurr2_20200721_20210707	Gurr2	20200721	20210707	53.315675	-9.668541
Galway	Gurr3_20200723_20210708	Gurr3	20200723	20210708	53.315443	-9.671564
Gdynia	GDY1_20190619_20191029	GDY1	20190619	20191029	54.48522	18.57111
Gdynia	GDY1_20180813_20191029	GDY1	20180813	20191029	54.48522	18.57111
Getxo	G1_20190624_20191016	G1	20190624	20191016	43.338452	-3.014833
Getxo	G1_20200624_20201103	G1	20200624	20201103	43.338452	-3.014833
Getxo	G2_20200624_20201103	G2	20200624	20201103	43.3385	-3.01491
Getxo	G2_20190624_20191016	G2	20190624	20191016	43.3385	-3.01491
