Species,Total_Observatories
Acartia (Acanthacartia) tonsa,7
Amphibalanus amphitrite,2
Amphibalanus eburneus,2
Amphibalanus improvisus,14
Amphibalanus sp.,1
Apionsoma (Apionsoma) misakianum,4
Arcuatula senhousia,2
Ascidiella aspersa,6
Asparagopsis armata,2
Asparagopsis taxiformis,1
Aurelia solida,2
Austrominius modestus,5
Balanus trigonus,7
Boccardia proboscidea,1
Bonnemaisonia hamifera,12
Botrylloides violaceus,1
Bugula neritina,7
Caprella mutica,2
Caprella scaura,3
Celleporaria brunnea,1
Cephalothrix simula,3
Cordylophora caspia,2
Corella eumyota,4
Corella sp.,8
Crepidula fornicata,5
Cutleria multifida,4
Dasysiphonia japonica,6
Dreisseninae sp.,1
Eucheilota menoni,1
Fenestrulina delicia,4
Fibrocapsa japonica,3
Ficopomatus enigmaticus,2
Gonionemus vertens,1
Haloa japonica,1
Halothrix lumbricalis,1
Hemigrapsus takanoi,1
Herdmania momus,1
Hydroides elegans,7
Malleus sp.,1
Marenzelleria sp.,1
Mawia benovici,1
Monocorophium sextonae,5
Neogobius melanostomus,2
Oithona davisae,2
Ostreopsis ovata,2
Palaemon elegans,2
Paracerceis sculpta,1
Paranthura japonica,1
Perophora japonica,3
Petricolaria pholadiformis,2
Pleurosira laevis,1
Polycerella emertoni,1
Polydora cornuta,6
Potamopyrgus antipodarum,2
Schizoporella japonica,1
Smittoidea prolifica,1
Streblospio benedicti,2
Telmatogeton japonicus,1
Torquigener flavimaculosus,1
Watersipora sp._1,3
Watersipora sp._2,4
Watersipora sp._3,1
Xenostrobus securis,1
