Species,1HERP_20180928_20190128,1HERP_20190612_20191011,Angbat_20180711_20181106,Angbat_20200608_20201117,AZBE1_20190924_20200303,AZFPin_20180712_20180818,BasBloS1_20180711_20181025,BirkenfelsA_20200617_20210309,CoastbustersA_20210422_20211008,Fornace_20180815_20181118,G1_20200624_20201103,G2_20190624_20191016,G2_20200624_20201103,G3_20190624_20191016,Gbg4_20200206_20200529,GDY1_20180813_20191029,GDY1_20190619_20191029,Green33_20190618_20191029,Green33_20191029_20201110,Green33_20201110_20211115,GStraB_20190621_20201207,GStraM_20190621_20201207,Gurr1_20200721_20210708,Gurr2_20200721_20210707,Gurr3_20200723_20210708,Kummelkobben_20200608_20201120,Laeso1_20190819_20200811,LukaKP_20210223_20210622,LukaKP_20210622_20211027,MarBloR1_20180709_20181024,MarBloR1_20190612_20190916,MarBloR2_20190612_20190917,MarBloR3_20190612_20190918,Marstrand2_20200228_20200527,MBA1_20180701_20181001,MBA1A_20190716_20190916,MBA1B_20190716_20190918,MBA1B_20200717_20200922,MBA1C_20190716_20190920,MBA2_20180701_20181001,Preemraff1_20200401_20200715,Preemraff2_20200401_20200715,RavH1_20210422_20210722,RavH2_20210422_20210722,RavM1_20210422_20210722,RavM2_20210422_20210722,RavM3_20210422_20210722,Red2_20190618_20191029,S2_20180708_20190805,Spikarna_20180711_20181107,TorallaA_20180607_20180924,VH1_20180418_20190527,VH1_20190527_20200716,VH1_20200716_20210608,VH2_20180418_20180906,VH2_20190527_20200716,VH2_20200716_20210608,VH3_20180418_20190527,VH3_20190527_20200716,VH3_20200716_20210608,Yellow8_20190618_20191029,Yellow8_20201110_20211115,1HERP_20190612_20200618,1HERP_20200903_20210122,2UBPC_20190924_20201211,AJJCD89_20210225_20210819,BasBloS1_20190612_20200527,BasBloS2_20190612_20200528,BasBloS3_20190612_20200529,Bjorko1_20200131_20200518,BojaVida_20200611_20210728,G1_20190624_20191016,G3_20200624_20201103,Gbg1_20200206_20200520,Gbg3_20200206_20200529,Helsingborg1_20200305_20200604,Helsingborg2_20200305_20200604,Hjuvik1_20200131_20200518,Katza1_20181024_20200706,Katza2_20181024_20200803,Laeso2_20190819_20200811,Laeso3_20190819_20200811,Marstrand1_20200228_20200527,Marstrand3_20200228_20200527,MBA1A_20200717_20200921,MBA1C_20200717_20200923,NR1_20181017_20200204,RavH3_20210422_20210722,Red2_20191029_20201110,Red2_20201110_20211115,S1_20190806_20200804,Spikarna_20200608_20201118,TorallaA_20190625_20191014,TorallaA_20200706_20201006,TorallaB_20190625_20191014,TorallaB_20200706_20201006,TorallaC_20190625_20191014,TorallaC_20200706_20201006,Varberg1_20200213_20200603,Varberg2_20200213_20200603,Varberg3_20200213_20200603
Acartia (Acanthacartia) tonsa,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Amphibalanus amphitrite,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amphibalanus eburneus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Amphibalanus improvisus,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0
Amphibalanus sp.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apionsoma (Apionsoma) misakianum,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arcuatula senhousia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ascidiella aspersa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asparagopsis armata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asparagopsis taxiformis,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
