decimalLatitude	decimalLongitude	Counts
53.315443	-9.671564	17
53.315693	-9.670278	275
53.315675	-9.668541	1986
42.2284	-8.7787	215
50.350134	-4.159167	21
50.3668	-4.1561	49
50.3673	-4.1554	19
50.3674	-4.1552	1
50.3674	-4.1544	11
48.71751	-3.96649	360
48.72872	-3.95894	73
43.3385	-3.01491	31
43.338452	-3.014833	646
43.33843	-3.01483	153
51.11486388	2.57857672	170
51.64505	2.793074	1886
51.66522	2.82558	8
51.364298	3.20701	11
58.859877	11.080491	321
58.875155	11.103194	260
58.87633	11.111884	880
57.25692	11.14197	1400
57.25692	11.14199	2
58.35405	11.43394	2
57.903512	11.581548	28
57.1126278	12.2302732	92
45.5188	13.5673	352
45.564856	13.743586	1103
67.240217	14.711533	2
78.21302778	15.23361111	16
59.841505	23.248879	1
35.343153	25.136605	198
29.50555	34.920278	21
29.52	34.934444	4

