Event	decimalLatitude	decimalLongitude
1HERP_20180928_20190128	35.343153	25.136605
Fornace_20180815_20181118	45.5188	13.5673
G1_20200624_20201103	43.338452	-3.014833
G2_20190624_20191016	43.3385	-3.01491
LukaKP_20210223_20210622	45.564856	13.743586
LukaKP_20210622_20211027	45.564856	13.743586
MarBloR2_20190612_20190917	48.71751	-3.96649
MBA1A_20190716_20190916	50.3673	-4.1554
MBA1B_20190716_20190918	50.3668	-4.1561
MBA1B_20200717_20200922	50.3668	-4.1561
MBA1C_20190716_20190920	50.3674	-4.1544
MBA2_20180701_20181001	50.350134	-4.159167
RavM1_20210422_20210722	44.492426	12.287623
RavM2_20210422_20210722	44.492426	12.287623
RavM3_20210422_20210722	44.492426	12.287623
BasBloS1_20190612_20200527	48.72872	-3.95894
BasBloS2_20190612_20200528	48.72872	-3.95894
G1_20190624_20191016	43.338452	-3.014833
Laeso2_20190819_20200811	57.25692	11.14197
MBA1A_20200717_20200921	50.3673	-4.1554
MBA1C_20200717_20200923	50.3674	-4.1544
NR1_20181017_20200204	29.50555	34.920278
