Event	decimalLatitude	decimalLongitude
Green33_20190618_20191029	56.90155	9.05516667
Green33_20191029_20201110	56.90155	9.05516667
VH1_20180418_20190527	58.875155	11.103194
VH1_20190527_20200716	58.875155	11.103194
VH1_20200716_20210608	58.875155	11.103194
VH2_20180418_20180906	58.87633	11.111884
VH2_20190527_20200716	58.87633	11.111884
VH2_20200716_20210608	58.87633	11.111884
VH3_20180418_20190527	58.859877	11.080491
VH3_20190527_20200716	58.859877	11.080491
VH3_20200716_20210608	58.859877	11.080491
Yellow8_20190618_20191029	56.90131667	9.05733333
Yellow8_20201110_20211115	56.90131667	9.05733333
1HERP_20200903_20210122	35.343153	25.136605
Laeso2_20190819_20200811	57.25692	11.14197
Red2_20191029_20201110	56.89985	9.05663333
Red2_20201110_20211115	56.89985	9.05663333
